id_municipio,municipio,sigla_uf,regiao,populacao,area_km2,pib_mil_reais,vab_agropecuaria,vab_industria,vab_servicos,vab_adm_publica
4321352,Tavares,RS,Sul,5484,610.106,124254,44681,3154,34252,35985
4321402,Tenente Portela,RS,Sul,13385,337.495,579215,134996,37447,280479,77897
4321436,Terra de Areia,RS,Sul,11323,142.304,291340,20329,21543,146487,69435
4321451,Teutônia,RS,Sul,34275,177.795,1576011,117910,445991,584228,206825
4321469,Tio Hugo,RS,Sul,3078,113.944,174784,65149,14830,51230,27019
4321477,Tiradentes do Sul,RS,Sul,5532,236.653,196243,87340,6524,52624,35129
4321493,Toropi,RS,Sul,2753,198.316,101334,45506,2255,26656,21301
4321501,Torres,RS,Sul,39381,161.627,1382107,49869,169906,796069,252182
4321600,Tramandaí,RS,Sul,53507,142.878,1234556,16773,113567,671817,334146
4321626,Travesseiro,RS,Sul,2331,80.681,78088,38219,12164,7632,17121
4321634,Três Arroios,RS,Sul,2620,148.601,141197,58790,11257,37427,20557
4321667,Três Cachoeiras,RS,Sul,11174,251.483,308570,29246,27495,151157,62881
